Index;Contrato;Facturación;Grupo
0;2000241;3624.35;P2
1;240453;1388.24;P3
2;1015122;1471.83;P3
3;174536;927.03;P3
4;1011580;2865.41;P3
5;1004220;500.0;P3
6;256302;3744.81;P2
7;256592;1238.79;P3
8;359642;2319.04;P3
9;135361;1750.63;P3
10;1004067;3462.11;P2
11;1016360;500.0;P3
12;200595;1677.58;P3
13;285539;1615.95;P3
14;272399;3133.77;P2
15;292730;900.11;P3
16;356309;1827.57;P3
17;167001;1122.14;P3
18;368335;2042.21;P3
19;2000353056;2582.82;P3
20;1061295;899.38;P3
21;240461;3144.72;P2
22;253613;2901.59;P3
23;363720;2502.49;P3
24;1012244;2900.86;P3
25;258373;1316.27;P3
26;2000248042;1877.11;P3
27;356352;1064.23;P3
28;256593;1732.11;P3
29;366862;2530.36;P3
30;273036;1308.34;P3
31;193983;1603.25;P3
32;65592;1312.83;P3
33;2007018;1154.79;P3
34;1061513;1328.75;P3
35;132508;1987.34;P3
36;1016078;882.69;P3
37;1012268;2234.42;P3
38;104978;3659.8;P2
39;1010824;2742.04;P3
40;1016037;1808.16;P3
41;277703;1112.37;P3
42;1008058;1252.84;P3
43;1016755;3692.45;P2
44;358474;2050.81;P3
45;205772;1363.0;P3
46;1009001;2190.92;P3
47;357477;4100.26;P1
48;88727;2120.16;P3
49;355013;2617.2;P3
50;85176;2300.17;P3
51;226995;1647.75;P3
52;238842;857.48;P3
53;1015585;1650.66;P3
54;1061128;1791.11;P3
55;2000255195;2586.62;P3
56;1016054;2838.98;P3
57;255526;2931.1;P3
58;1016764;2285.59;P3
59;2000303556;2885.14;P3
60;1016442;1245.6;P3
61;369065;3252.87;P2
62;287172;2512.93;P3
63;91720;1701.91;P3
64;2000254992;2488.52;P3
65;353266;1924.43;P3
66;1010804;3131.63;P2
67;302019;3519.82;P2
68;216901;4185.58;P1
69;297197;603.5;P3
70;2044600;555.89;P3
71;2011657;1495.53;P3
72;1004179;2160.04;P3
73;2010074;2876.17;P3
74;224899;2315.63;P3
75;370614;500.0;P3
76;1011785;1693.8;P3
77;1015808;2827.97;P3
78;1016301;2230.09;P3
79;91124;2762.01;P3
80;2043999;1777.67;P3
81;1016093;1799.24;P3
82;355653;2186.56;P3
83;350761;2410.05;P3
84;356288;2198.3;P3
85;74039;2119.01;P3
86;2047108;1329.34;P3
87;48735;2377.56;P3
88;338895;2121.82;P3
89;1011211;3129.48;P2
90;355491;3198.92;P2
91;256242;2185.16;P3
92;119205;1624.72;P3
93;2051225;1361.27;P3
94;1016769;2423.49;P3
95;1011144;2077.34;P3
96;1015679;1656.15;P3
97;1015383;2043.6;P3
98;1010752;1380.0;P3
99;82771;2698.03;P3
100;171554;1552.87;P3
101;336025;3224.51;P2
102;1010481;2403.49;P3
103;214127;2593.58;P3
104;1016419;905.09;P3
105;1010364;2169.38;P3
106;212441;2740.56;P3
107;340638;1046.3;P3
108;328936;1733.78;P3
109;85246;2032.61;P3
110;1016032;626.88;P3
111;1004093;2315.16;P3
112;1004219;2846.16;P3
113;356330;1140.48;P3
114;1014984;2350.55;P3
115;61579;687.72;P3
116;2032501;1961.3;P3
117;2012378;500.0;P3
118;119151;3121.42;P2
119;1009184;2408.9;P3
120;71828;1975.38;P3
121;2000255264;1224.84;P3
122;1513673;3273.76;P2
123;1009559;3967.1;P2
124;1016437;500.0;P3
125;49968;3236.16;P2
126;319541;3627.65;P2
127;1534166;2338.01;P3
128;365877;800.73;P3
129;1015664;2863.35;P3
130;1010865;1819.08;P3
131;112509;1396.08;P3
132;1003407;769.94;P3
133;91491;2550.54;P3
134;1009551;2792.81;P3
135;2008021;1376.47;P3
136;366096;2520.58;P3
137;148019;855.66;P3
138;256393;2801.86;P3
139;2051070;2046.57;P3
140;144282;1813.43;P3
141;111148;1898.25;P3
142;1011748;2868.89;P3
143;285856;2750.41;P3
144;74349;2529.47;P3
145;2005096;2137.7;P3
146;356552;2077.82;P3
147;1016207;2618.38;P3
148;207715;2232.49;P3
149;334226;2682.55;P3
