Index;Fec. Alta;Contrato;Grupo
33034;2018-01-01;29572;P3
2748;2018-01-01;77055;P3
10154;2018-01-02;222504;P3
28765;2018-01-02;193983;P3
33416;2018-01-02;222504;P3
38150;2018-01-02;197012;P3
22899;2018-01-02;145825;P3
35199;2018-01-03;222504;P3
29575;2018-01-03;200595;P3
709;2018-01-03;88838;P3
33374;2018-01-03;88838;P3
38145;2018-01-03;200595;P3
38153;2018-01-03;224899;P3
2468;2018-01-03;222504;P3
25864;2018-01-03;225158;P3
90152;2018-01-03;88838;P3
14969;2018-01-04;132264;P3
2984;2018-01-04;194729;P3
30773;2018-01-04;132264;P3
33265;2018-01-04;202794;P3
33342;2018-01-04;194729;P3
24953;2018-01-04;132264;P3
12895;2018-01-04;119152;P2
23928;2018-01-04;85246;P3
44166;2018-01-04;194729;P3
44172;2018-01-04;194729;P3
38437;2018-01-04;194729;P3
44621;2018-01-04;194729;P3
3268;2018-01-04;132264;P3
36232;2018-01-04;132264;P3
35211;2018-01-04;194729;P3
22020;2018-01-04;145827;P3
90266;2018-01-04;194729;P3
90154;2018-01-05;82646;P3
20557;2018-01-05;238842;P3
90020;2018-01-05;244184;P3
1975;2018-01-05;88838;P3
49354;2018-01-05;238842;P3
27760;2018-01-05;88838;P3
32656;2018-01-08;145827;P3
32658;2018-01-08;145827;P3
116138;2018-01-08;193983;P3
31286;2018-01-08;222504;P3
44151;2018-01-08;193983;P3
44598;2018-01-09;193983;P3
117317;2018-01-09;193983;P3
33867;2018-01-09;224901;P3
33159;2018-01-09;145825;P3
116139;2018-01-09;202794;P3
90161;2018-01-09;193983;P3
42909;2018-01-09;193983;P3
21955;2018-01-09;119205;P3
31785;2018-01-09;222504;P3
8162;2018-01-09;193983;P3
30135;2018-01-10;238379;P3
25946;2018-01-10;224899;P3
8276;2018-01-11;165427;P3
13429;2018-01-11;196163;P1
65300;2018-01-11;154858;P2
13752;2018-01-12;82646;P3
117120;2018-01-12;119205;P3
2562;2018-01-12;82646;P3
23349;2018-01-12;175423;P3
32792;2018-01-12;206383;P3
44606;2018-01-12;116567;P3
14820;2018-01-15;222504;P3
13919;2018-01-15;144282;P3
17610;2018-01-15;145825;P3
5233;2018-01-16;119205;P3
8641;2018-01-16;119205;P3
12069;2018-01-16;119205;P3
10019;2018-01-16;119205;P3
7362;2018-01-16;119205;P3
8533;2018-01-16;2000272014;P3
